url,image,title,text
/personalities/elon-musk/,https://static.politifact.com/CACHE/images/politifact/mugs/Elon_Musk/d50faad08cda7bbd7dd969afe5f2429f.jpeg,Elon Musk,Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.”
/personalities/facebook-posts/,https://static.politifact.com/CACHE/images/politifact/mugs/Facebook_Logo_2019/7ed0f7f43159fdda4e36555173e00d64.jpg,Facebook posts,"""El Comité Central Chino para la Calidad de los Alimentos ha anunciado la prohibición de la venta de Coca-Cola para consumo humano en todo el país""."
/personalities/instagram-posts/,https://static.politifact.com/CACHE/images/politifact/mugs/768px-Instagram_logo_2016.svg/322c808c00e73c217d17772ddd5a0eb5.jpg,Instagram posts,"""Last time Democrats removed a Republican from the ballot” was Abraham Lincoln in 1860."
/personalities/donald-trump/,https://static.politifact.com/CACHE/images/politifact/mugs/AP_17226541257169/3609eadbe8c3d501d1f980e99b555a16.jpg,Donald Trump,"In Oklahoma, ""I won 77 out of 77 counties. Ronald Reagan is second with 56."""
/personalities/facebook-posts/,https://static.politifact.com/CACHE/images/politifact/mugs/Facebook_Logo_2019/7ed0f7f43159fdda4e36555173e00d64.jpg,Facebook posts,Martin Luther King Jr. is “rallying around President Trump!”
/personalities/facebook-posts/,https://static.politifact.com/CACHE/images/politifact/mugs/Facebook_Logo_2019/7ed0f7f43159fdda4e36555173e00d64.jpg,Facebook posts,Wearing this bracelet aids in weight loss.
/personalities/tammy-baldwin/,https://static.politifact.com/CACHE/images/politifact/mugs/baldwin-new/e5f81dc43ebbfab7c9d9b56cfba2f398.jpg,Tammy Baldwin,"“Wisconsin had over 1,400 opioid overdose deaths in 2022.”"
/personalities/steve-scalise/,https://static.politifact.com/CACHE/images/politifact/mugs/AP_20213621526235/e70bd1143bd579f8ac726a6011f414eb.jpg,Steve Scalise,"The Senate’s border bill “accepts 5,000 illegal immigrants a day.”"
/personalities/nikki-haley/,https://static.politifact.com/CACHE/images/politifact/mugs/AP_20238087865287/f5093334c4527e09a099c4ec1c29298b.jpg,Nikki Haley,"If Texas says, “‘We don’t want to be part of America anymore’ … that’s their decision to make.”"
/personalities/donna-brazile/,https://static.politifact.com/CACHE/images/politifact/mugs/Screenshot_2024-02-05_at_3.06.33PM/94db4a4eac60191e05728755d8643f99.jpg,Donna Brazile,"Under President Joe Biden, “Black unemployment is the lowest in American history.”"
