url,image,video,h4
,,,
https://www.altnews.in/alt-news-investigation-multiple-handles-run-bogus-fundraisers-on-x-benefiting-a-certain-sandeep-mandal/,https://www.altnews.in/wp-content/uploads/2024/02/Copy-of-FI-Kit-78-768x402.jpg,,Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’
https://www.altnews.in/viral-exclusive-video-of-virat-kohli-at-ram-mandir-consecration-is-actually-an-old-clip-from-a-ganesh-chaturthi-event/,https://www.altnews.in/wp-content/uploads/2024/01/FI-Template-34-300x157.jpg,,Viral ‘exclusive’ video of Virat Kohli at Ram Mandir consecration is actually an old clip from a Ganesh Chaturthi event
https://www.altnews.in/burj-khalifa-photo-with-hindu-deity-rams-image-projected-on-it-is-edited/,https://www.altnews.in/wp-content/uploads/2024/01/Copy-of-Feature-Image-Template-2024-01-23T171031.274-300x157.jpg,,Burj Khalifa photos with Hindu deity Ram’s image projected on it are edited
https://www.altnews.in/fight-over-akshata-distribution-injures-4-in-karnataka-rahul-shivshankar-calls-it-hindumesia-in-misleading-tweet/,https://www.altnews.in/wp-content/uploads/2024/01/Copy-of-Feature-Image-Template-26.jpg,,Fight over ‘Akshata’ distribution injures 4 in Karnataka; Rahul Shivshankar calls it ‘Hindumesia’ in misleading tweet
https://www.altnews.in/an-mba-from-australia-neha-patel-now-leads-violent-cow-vigilantes-in-gujarat/,https://www.altnews.in/wp-content/uploads/2024/01/Copy-of-FI-Kit-73.jpg,,"An MBA from Australia, Neha Patel now leads violent cow-vigilantes in Gujarat"
https://www.altnews.in/false-claim-viral-that-construction-of-ram-temple-is-3-km-away-from-babri-masjid/,https://www.altnews.in/wp-content/uploads/2024/01/ram.jpg,,"Fact check: Ram Mandir is being built at the same site where Babri Masjid once stood, not 3 km away"
https://www.altnews.in/ani-news-misreports-firecrackers-dynamite-sticks-kollam-fire-right-wing-rumour-mills-go-town/,https://www.altnews.in/wp-content/uploads/2016/04/kerala-fire-used-fireworks_0-768x576.jpg,,"ANI News misreports firecrackers as dynamite sticks in Kollam fire, right wing rumour mills go to town with it"
https://www.altnews.in/underbelly-facebook-organized-propaganda-armed-kashmiri-separatism/,https://www.altnews.in/wp-content/uploads/2016/04/Selection_13_04_2016_005-150x150.jpg,,In the underbelly of Facebook is an organized propaganda for armed Kashmiri separatism
https://www.altnews.in/bhu-now-rss-laboratory-become-hell-hole-female-students/,https://www.altnews.in/wp-content/uploads/2017/02/HUFFING-150x150.jpg,,"BHU, now a RSS laboratory, has become a hell-hole for female students"
https://www.altnews.in/no-donald-trump-hasnt-asked-people-vote-bjp/,https://www.altnews.in/wp-content/uploads/2017/02/Selection_09_02_2017_003-150x150.png,,"No, Donald Trump hasn’t asked people to vote for BJP"
https://www.altnews.in/bjp-it-cell-man-dhruv-saxena-along-with-10-others-arrested-for-helping-isi-spy-on-army/,https://www.altnews.in/wp-content/uploads/2017/02/6.jpg-150x150.jpg,,BJP IT Cell man Dhruv Saxena along with 10 others arrested for helping ISI spy on Army
https://www.altnews.in/ladder-walking-its-a-phenomenon-called-passive-dynamic-walking-nothing-paranormal-about-it/,https://www.altnews.in/wp-content/uploads/2023/08/Copy-of-FI-Kit-30-300x157.jpg,,"Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it"
https://www.altnews.in/misleading-video-claiming-dry-ginger-can-cure-omicron-is-scientifically-baseless/,,,Misleading video claiming dry ginger can cure Omicron is scientifically baseless
https://www.altnews.in/stone-dissolve-iron-false-claim-that-its-a-miracle-stone-found-in-afganistan/,,,"Magical stone melting metal nails? No, the nails are made of gallium"
https://www.altnews.in/fake-chart-shows-covid-19-variant-timeline-predicting-release-dates/,,,Fake chart shows COVID-19 variant “timeline” predicting release dates
https://www.altnews.in/karnataka-sslc-exam-paper-scheduled-in-2nd-half-on-friday-to-avoid-clash-with-pre-uni-test-bjp-sees-appeasement/,https://www.altnews.in/wp-content/uploads/2024/02/FI-Template-35-300x157.jpg,,Karnataka SSLC exam: Paper scheduled in 2nd half on Friday to avoid clash with pre-uni test; BJP sees ‘appeasement’
https://www.altnews.in/kharge-did-not-admit-defeat-by-acceding-400-seats-to-bjp-clipped-video-shared-by-union-ministers/,https://www.altnews.in/wp-content/uploads/2024/02/Copy-of-Feature-Image-Template-31-300x157.jpg,,Kharge did not ‘admit defeat’ by acceding 400 seats to BJP; clipped video shared by Union ministers
,,https://www.youtube.com/embed/RxOgleRfnvM?version=3&rel=1&showsearch=0&showinfo=1&iv_load_policy=1&fs=1&hl=en-GB&autohide=2&wmode=transparent,
